title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Clifford the Big Red Dog,2021,"Family, Adventure, Comedy, Fantasy",7.3,585.011,1100,en,0
Tyler Perry's A Madea Homecoming,2022,Comedy,6.7,577.591,42,en,3
The Boss Baby: Family Business,2021,"Animation, Comedy, Adventure, Family",7.6,567.421,1785,en,0
Turning Red,2022,"Animation, Family, Comedy, Fantasy",8.6,564.507,8,en,0
Brazen,2022,"Thriller, Mystery, Drama",4.8,553.141,211,en,4
The House,2022,"Animation, Drama, Comedy, Horror",7.1,551.65,432,en,5
Blacklight,2022,"Action, Thriller",5.1,533.903,88,en,8
Ron's Gone Wrong,2021,"Animation, Science Fiction, Family, Comedy",8.1,509.277,1000,en,0
Free Guy,2021,"Comedy, Action, Adventure, Science Fiction",7.7,447.872,5158,en,11
Cruella,2021,"Comedy, Crime",8.2,429.613,6675,en,3
The Suicide Squad,2021,"Action, Adventure, Fantasy",7.7,424.983,5689,en,10
The Simpsons in Plusaversary,2021,"Animation, Comedy, Fantasy",6.6,418.589,251,en,0
Forgive Us Our Trespasses,2022,"Drama, War",6.3,409.688,27,en,6
Luca,2021,"Animation, Comedy, Family, Fantasy",8.0,408.749,5886,en,0
Mortal Kombat,2021,"Action, Fantasy, Adventure",7.2,402.273,4447,en,10
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy, Science Fiction",8.3,398.461,7414,en,11
Mother/Android,2021,"Science Fiction, Thriller",5.8,398.12,422,en,4
Exploits of a Young Don Juan,1986,"Comedy, Drama",5.5,396.948,88,fr,3
Dune,2021,"Science Fiction, Adventure",7.9,394.295,6237,en,11
The Last Warrior: Root of Evil,2021,"Fantasy, Adventure, Comedy",7.1,391.957,89,ru,10
The Privilege,2022,Horror,5.1,387.924,104,de,5
Queen of Spades,2021,Horror,6.4,387.159,37,en,5
Antlers,2021,"Drama, Horror, Mystery",6.4,380.88,544,en,5
Dangerous,2021,"Action, Thriller",6.4,379.856,175,en,8
After We Fell,2021,"Romance, Drama",7.2,365.85,1563,en,6
No Time to Die,2021,"Adventure, Action, Thriller",7.5,360.164,3616,en,10
Sooryavanshi,2021,"Action, Crime, Thriller",5.8,352.368,93,hi,8
Finch,2021,"Science Fiction, Drama, Adventure",8.1,348.942,2075,en,11
Two,2021,"Thriller, Horror",5.4,342.661,207,es,7
PAW Patrol: The Movie,2021,"Animation, Family, Adventure, Comedy",7.5,339.374,855,en,0
Avengers: Infinity War,2018,"Adventure, Action, Science Fiction",8.3,338.402,24079,en,11
Batman,1989,"Fantasy, Action",7.2,338.272,6109,en,10
Black Widow,2021,"Action, Adventure, Science Fiction",7.5,337.651,7127,en,11
The Wonderful Winter of Mickey Mouse,2022,"Animation, Comedy",5.7,333.354,3,en,3
F9,2021,"Action, Crime, Thriller, Adventure",7.3,331.944,5092,en,8
Moonfall,2022,"Action, Adventure, Science Fiction",5.9,328.678,186,en,11
"Sex, Shame and Tears 2",2022,"Comedy, Drama",2.2,325.624,5,es,3
Diary of a Wimpy Kid,2021,"Animation, Comedy, Family",6.5,324.706,189,en,0
AI Love You,2022,"Comedy, Romance, Science Fiction",5.3,317.643,16,th,9
Sonic the Hedgehog 2,2022,"Action, Science Fiction, Comedy, Family",0.0,317.159,0,en,2
Erax,2022,"Mystery, Family",5.7,317.102,12,en,0
Deathstroke: Knights & Dragons - The Movie,2020,"Animation, Action, Adventure, Science Fiction",6.9,314.388,325,en,11
The Last Duel,2021,"Action, Drama, History",7.6,312.916,1848,en,1
The Pirates: The Last Royal Treasure,2022,"Action, Adventure, Comedy, History",6.6,311.94,38,ko,10
Paranormal Activity: Next of Kin,2021,"Horror, Mystery, Thriller",6.5,310.011,300,en,7
House of Gucci,2021,"Drama, Crime, Thriller",6.8,308.214,1276,en,8
